geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
4013010101,13,0.0,1,0.96164,0,0.08668,0,0.04286,0,0.01819,1,0.0,1,0.0,1,0.03094,1,0.96237,0,0.00147,0,0.0,1,0.00026,0.00182,5073,54.31615,93.39763,0.58967,0.00703,0.00703,0.39325
4013010102,13,0.02531,1,0.96994,0,0.01856,1,0.07799,0,0.01362,1,0.05409,1,0.00474,1,0.0077,1,0.93348,0,0.00159,0,0.25997,0,0.00069,0.00119,4640,2740.33005,1.69323,0.65394,0.01403,0.00345,0.51847
4013030401,13,0.0004,1,0.97836,0,0.04425,1,0.03022,1,0.00939,1,0.01119,1,0.0,1,0.03755,1,0.95026,0,0.00157,0,0.0,1,0.00085,0.00133,4283,26.53348,161.41869,0.68956,0.00827,0.00827,0.48666
4013030402,13,0.03398,1,0.99474,0,0.09066,0,0.13611,0,0.04477,0,0.0,1,0.0,1,0.0342,1,0.92958,0,0.00133,0,0.50821,0,0.00093,0.00067,3895,58.19838,66.92626,0.62718,0.00906,0.00618,0.4405
4013040502,13,0.04582,1,0.92635,0,0.09465,0,0.10387,0,0.07354,0,0.00077,1,0.0,1,0.16005,0,0.74686,0,0.00148,0,0.96448,0,0.00102,7e-05,4861,20.55138,236.52909,0.46754,0.08185,0.00474,0.27243
4013040506,13,0.00974,1,0.9691,0,0.14837,0,0.06557,0,0.00783,1,0.0,1,0.00487,1,0.00278,1,0.98574,0,0.00196,0,0.2907,0,0.00014,0.00117,5209,6.35757,819.33795,0.64767,0.0117,0.00965,0.30992
4013040507,13,0.00469,1,0.87341,0,0.17766,0,0.09682,0,0.0,1,0.01376,1,0.01255,1,0.00499,1,0.9613,0,0.0023,0,0.15331,0,0.00254,0.00134,6097,7.628,799.29171,0.65362,0.00532,0.00414,0.28469
4013040512,13,0.01329,1,0.96816,0,0.21176,1,0.06124,0,0.00462,1,0.00751,1,0.00867,1,0.0104,1,0.96303,0,0.00058,0,0.16911,0,0.0,0.00038,1690,1.9524,865.60225,0.71333,0.00024,0.00024,0.50619
4013040513,13,0.02059,1,0.97453,0,0.19907,1,0.04247,0,0.00869,1,0.0,1,0.00161,1,0.00901,1,0.98134,0,0.00106,0,0.09034,0,0.00012,0.00083,3031,3.7678,804.44854,0.66752,3e-05,3e-05,0.49937
4013040514,13,0.01726,1,0.98443,0,0.16341,1,0.04906,0,0.0,1,0.01465,1,0.00319,1,0.02071,1,0.96145,0,0.00108,0,0.33069,0,2e-05,0.00055,3104,3.90786,794.29634,0.66974,0.00326,0.00326,0.50666
