idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
33421,-112.62583,33.85136,0.49175,0.93709,0.32391,0.44805,0.0,0.63315,0.6129,0.82451,0.81614,0.52793,0.46611,0.90209,0.5382,0.56278
31390,-112.52163,33.78699,0.89397,0.0,0.0,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.5474,0.43745,0.38495,0.37235
7770,-112.89208,32.92624,0.0457,0.0,0.34618,0.82092,0.97243,0.84067,0.85696,0.88053,0.93557,0.64811,0.85891,0.03887,0.60379,0.5849
7637,-112.892,32.91902,0.0457,0.0,0.0,0.82092,0.97243,0.84067,0.85696,0.88053,0.93557,0.64811,0.85891,0.01635,0.57382,0.55508
29574,-112.4349,33.72968,0.89397,0.74762,0.72785,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.3571,0.11096,0.41373,0.41033
24757,-111.6756,33.58627,0.01643,0.0,0.32967,0.53626,0.6696,0.65295,0.24747,0.03904,0.87918,0.52131,0.99828,0.93115,0.56802,0.55737
35661,-112.12459,33.92535,0.93931,0.8919,0.33563,0.08037,0.0,0.71961,0.35572,0.49647,0.09343,0.49611,0.26239,0.9615,0.43368,0.46604
33938,-112.06392,33.86773,0.88979,0.0,0.38933,0.17326,0.0,0.3269,0.24922,0.16174,0.06313,0.67795,0.26063,0.54773,0.30236,0.31236
35957,-113.17165,33.93356,0.49175,0.0,0.36403,0.44805,0.0,0.63315,0.6129,0.82451,0.81614,0.52793,0.70751,0.04125,0.45534,0.46947
32820,-111.95149,33.83175,0.62361,0.90473,0.354,0.13017,0.9289,0.50756,0.0714,0.33683,0.6196,0.17631,0.08305,0.1408,0.40398,0.40376
36148,-113.17176,33.94077,0.49175,0.0,0.38021,0.44805,0.0,0.63315,0.6129,0.82451,0.81614,0.52793,0.70751,0.07004,0.45813,0.47205
29430,-111.67521,33.72332,0.69649,0.0,0.0,0.57855,0.0,0.45788,0.06559,0.0,0.17607,0.06927,0.1297,0.08904,0.20767,0.22132
17738,-112.48438,33.37601,0.51682,0.0,0.32763,0.08037,0.0,0.75817,0.82569,0.72001,0.42244,0.79313,0.28538,0.42531,0.34514,0.35859
18923,-112.87172,33.41691,0.57219,0.0,0.0,0.10686,0.58423,0.90684,0.65599,0.72781,0.68275,0.45453,0.82322,0.11077,0.49335,0.49914
21583,-111.83082,33.49991,0.90889,0.0,0.34802,0.8348,0.54102,0.96376,0.42816,0.19316,0.89191,0.5124,0.99161,0.41958,0.54825,0.54944
31162,-112.53022,33.77974,0.89397,0.0,0.0,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.5474,0.14575,0.37036,0.35984
18722,-112.83724,33.40996,0.57219,0.0,0.33272,0.10686,0.58423,0.90684,0.65599,0.72781,0.68275,0.45453,0.82322,0.15585,0.52333,0.5288
15654,-112.77598,33.3022,0.14938,0.93565,0.32487,0.39351,0.0,0.82965,0.76853,0.78281,0.77017,0.42011,0.39169,0.10996,0.4598,0.48046
33739,-111.83046,33.86058,0.76951,0.85026,0.35579,0.51082,0.71879,0.02188,0.01471,0.25351,0.3761,0.04851,0.03399,0.92091,0.37469,0.36538
17448,-113.21498,33.36331,0.57219,0.0,0.32846,0.10686,0.58423,0.90684,0.65599,0.72781,0.68275,0.45453,0.32639,0.04804,0.38834,0.37701
33648,-112.61724,33.85862,0.89397,0.0,0.33478,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.47983,0.14454,0.4179,0.40373
32291,-112.58232,33.81553,0.95225,0.0,0.73812,0.40063,0.85301,0.7079,0.36173,0.30328,0.53244,0.25747,0.47983,0.06167,0.46976,0.45839
19968,-112.70003,33.45418,0.85065,0.0,0.36326,0.66016,0.0,0.6207,0.58012,0.51666,0.14129,0.37167,0.63171,0.22485,0.41108,0.42566
29344,-112.41759,33.72254,0.89397,0.0,0.45823,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.3571,0.12089,0.33603,0.32143
35457,-112.13322,33.91812,0.93931,0.93565,0.3607,0.08037,0.0,0.71961,0.35572,0.49647,0.09343,0.49611,0.2616,0.74586,0.4282,0.46275
21213,-112.71757,33.49014,0.85065,0.0,0.0,0.66016,0.0,0.6207,0.58012,0.51666,0.14129,0.37167,0.63171,0.19346,0.37924,0.39404
29113,-112.40892,33.71536,0.89397,0.0,0.33221,0.58715,0.86557,0.43472,0.46062,0.37675,0.19137,0.14608,0.3571,0.48566,0.34377,0.32656
21215,-112.70035,33.49025,0.85065,0.0,0.45887,0.66016,0.0,0.6207,0.58012,0.51666,0.14129,0.37167,0.63171,0.20018,0.41781,0.43257
36147,-113.18041,33.94068,0.49175,0.0,0.33491,0.44805,0.0,0.63315,0.6129,0.82451,0.81614,0.52793,0.70751,0.13502,0.4576,0.47106
15653,-112.78457,33.30214,0.14938,0.0,0.32514,0.39351,0.0,0.82965,0.76853,0.78281,0.77017,0.42011,0.39169,0.0825,0.38827,0.3951
19709,-113.16454,33.44317,0.57219,0.0,0.0,0.10686,0.58423,0.90684,0.65599,0.72781,0.68275,0.45453,0.32639,0.03132,0.36013,0.34893
21217,-112.68313,33.49036,0.85065,0.8358,0.48809,0.66016,0.0,0.6207,0.58012,0.51666,0.14129,0.37167,0.63171,0.34643,0.49024,0.51649
19504,-113.16444,33.43595,0.57219,0.0,0.32539,0.10686,0.58423,0.90684,0.65599,0.72781,0.68275,0.45453,0.32639,0.05196,0.38828,0.37693
33059,-111.84777,33.83895,0.76951,0.0,0.36555,0.51082,0.71879,0.02188,0.01471,0.25351,0.3761,0.04851,0.03558,0.34102,0.28299,0.26509
27917,-112.64166,33.67815,0.67908,0.0,0.0,0.40701,0.0,0.31348,0.16762,0.11902,0.23228,0.08968,0.01633,0.85315,0.24568,0.25623
24497,-111.67562,33.57905,0.01643,0.81647,0.33851,0.53626,0.6696,0.65295,0.24747,0.03904,0.87918,0.52131,0.99733,0.33306,0.58439,0.59105
