osm_id,code,fclass,name,lon,lat
359242087,2110,hospital,Arizona State Hospital,-112.02864,33.45532
359244747,2082,school,Creighton School,-112.02126,33.46615
359247636,2082,school,Creighton School District Administration,-112.02293,33.48588
359247638,2082,school,Larry C. Kennedy School,-112.0232,33.48838
359248265,2082,school,Machan School,-112.03543,33.47699
359251089,2082,school,Saint Thomas School,-112.03098,33.50421
359253152,2082,school,Vista School,-112.01876,33.50282
359253596,2082,school,Wilson School,-112.02987,33.43643
359254284,2082,school,Hawkins Elementary School,-112.02959,33.43616
359254765,2082,school,Phoenix Christian Grade School,-112.02515,33.4756
359254868,2082,school,Saint Agnes School,-112.0307,33.47338
359291764,2082,school,Compass Center,-112.02211,33.48901
359293040,2082,school,Veritas Preparatory Academy,-112.03607,33.53809
4095229678,2402,motel,Arizona Motel,-112.02541,33.45097
4095229680,2402,motel,Knights Inn Phoenix East,-112.02804,33.45106
4095229681,2402,motel,Sterling International Hotels,-112.03045,33.44607
5917155515,2501,supermarket,Trader Joe's,-112.03783,33.50704
5986784066,2303,cafe,Royal Coffee Bar,-112.02734,33.51015
6169469090,2501,supermarket,Whole Foods Market,-112.03768,33.50634
316912138,2501,supermarket,Fry's Food & Drug,-111.97686,33.3791
359254208,2082,school,Frank Elementary School,-111.96233,33.37037
359291744,2082,school,Charter For Excellence School,-111.95835,33.35457
723485085,2081,university,University of Advancing Technology,-111.9759,33.37753
1446769674,2501,supermarket,Fry's Supermarket,-111.91079,33.37939
2325086801,2501,supermarket,Safeway,-111.98185,33.34797
2627642620,2501,supermarket,Whole Foods Market,-111.9299,33.37955
4095308339,2402,motel,Studio 6 Phoenix - Tempe,-111.96885,33.38174
5032084336,2082,school,Gethsemane Lutheran School,-111.92516,33.36317
5097459005,2084,college,Lamson College,-111.95273,33.34806
6228273974,2110,hospital,Detox Body Cleanse,-111.92581,33.38232
359254729,2082,school,Palomino School,-112.01959,33.63198
359254927,2082,school,Desert Cove Elementary School,-112.02294,33.58736
1680973812,2501,supermarket,Frys MarketPlace,-112.01108,33.64181
2181863598,2501,supermarket,Bashas',-112.01174,33.5835
2502345451,2303,cafe,Dutch Bros. Coffee,-112.01803,33.64031
3784892678,2082,school,Paradise Valley Unified School District #69 Offices,-112.01365,33.62416
4194666182,2501,supermarket,Yasha From Russia,-112.01332,33.58042
359245781,2082,school,Fortieth Street School,-111.9957,33.41893
359246213,2082,school,Griffith School,-111.98348,33.46893
