name,address,lat,lon
EL TIANGUIS MERCADO,9201 S AVENIDA DEL YAQUI  GUADALUPE 85283 ,33.36319,-111.96282
MARICOPA COUNTY TABULATION AND ELECTION CENTER ,510 S 3RD AVE PHOENIX 85003 ,33.4427,-112.0784
TOLLESON COUNCIL CHAMBERS*,9555 W VAN BUREN ST TOLLESON 85353 ,33.44958,-112.26616
ASU  FITNESS CENTER,400 E APACHE BLVD TEMPE 85281 ,33.41475,-111.93246
AVONDALE CITY HALL,11465 W CIVIC CENTER DR AVONDALE 85323 ,33.44445,-112.30444
BUCKEYE CITY HALL,530 E MONROE AVE BUCKEYE 85326 ,33.37096,-112.58397
BURTON BARR LIBRARY,1221 N CENTRAL AVE PHOENIX 85004 ,33.46245,-112.07316
CARTWRIGHT SCHOOL DIST ANNEX,3401 N 67TH AVE  PHOENIX  85033 ,33.4879,-112.20287
FAITH LUTHERAN CHURCH*,801 E CAMELBACK RD PHOENIX 85014 ,33.50876,-112.06389
GILA BEND TOWN HALL,644 W PIMA ST GILA BEND 85337 ,32.94487,-112.7296
MESA - ELECTIONS DEPARTMENT,222 E JAVELINA MESA 85210 ,33.381,-111.82723
WESLEY COMMUNITY CENTER,1300 S 10TH ST PHOENIX 85034 ,33.43474,-112.06
CAREFREE TOWN COUNCIL CENTER,33  EASY ST CAREFREE 85377 ,33.82346,-111.92093
CAVE CREEK TOWN HALL,37622 N CAVE CREEK RD CAVE CREEK 85331 ,33.82752,-111.95576
CHRIST COMMUNITY UNITED METHODIST CHURCH,104 W WESTERN AVE AVONDALE 85323 ,33.43584,-112.35056
CROSS IN THE DESERT UNITED METHODIST CHURCH,12835 N 32ND ST PHOENIX 85032 ,33.60359,-112.01149
GLENDALE COMMUNITY COLLEGE/STUDENT UNION,6000 W OLIVE AVE GLENDALE 85302 ,33.56943,-112.19083
INDIAN BEND WASH VISITOR CENTER,4201 N HAYDEN RD SCOTTSDALE 85251 ,33.49677,-111.90765
MOUNTAIN VIEW COMMUNITY CENTER,1104 E GROVERS AVE PHOENIX 85022 ,33.64813,-112.05928
OUTLETS AT ANTHEM,4250 W ANTHEM WAY PHOENIX 85086 ,33.87424,-112.14973
PARADISE VALLEY TOWN HALL,6401 E LINCOLN DR PARADISE VALLEY  85253 ,33.53076,-111.94251
PYLE ADULT RECREATION CENTER,655 E SOUTHERN AVE TEMPE 85282 ,33.39229,-111.92947
DIST 6 COMMUNITY SERVICE CENTER,5230 W ST JOHNS RD LAVEEN 85339 ,33.29334,-112.178
DIST 7 COMMUNITY SVC CTR,8035 S 83RD AVE LAVEEN 85339 ,33.37337,-112.237
MESA PUBLIC LIBRARY/ DOBSON BRANCH,2425 S DOBSON RD MESA 85202 ,33.37103,-111.87912
SAN LUCY DIST ADMIN BLDG,1216 N 307TH AVE GILA BEND 85337 ,32.96038,-112.71763
SIMPSON MIDDLE SCHOOL,5330 N 23RD AVE PHOENIX 85015 ,33.51518,-112.10879
SOUTH MOUNTAIN COMMUNITY CENTER*,212 E ALTA VISTA RD PHOENIX 85042 ,33.38901,-112.0706
SURPRISE CITY HALL*,16000 N CIVIC CENTER PLZ SURPRISE 85374 ,33.62966,-112.36815
FORT MCDOWELL INDIAN COMM REC CENTER,16402 N FORT MCDOWELL RD SCOTTSDALE 85264 ,33.6353,-111.67557
JAMES W RICE SCHOOL,4530 W CAMPBELL AVE PHOENIX 85031 ,33.50415,-112.15904
WESTWOOD ELEMENTARY SCHOOL,4711 N 23RD AVE PHOENIX 85015 ,33.50712,-112.10763
AMERICAN LEGION MATTHEW B JUAN POST 35,2240 W CHANDLER BLVD CHANDLER 85224 ,33.30689,-111.8801
DEER VALLEY COMMUNITY CENTER,2001 W WAHALLA LN PHOENIX 85027 ,33.66654,-112.10293
FIRST NEW LIFE MISSIONARY BAPT CH,1902 W ROESER RD PHOENIX 85041 ,33.39989,-112.09992
FLORENCE ELY NELSON COMMUNITY CENTER ,14227 E PINNACLE PEAK RD SCOTTSDALE  85255 ,33.70064,-111.84896
ARIZONA HERITAGE CENTER,1300 N COLLEGE AVE TEMPE 85281 ,33.44311,-111.9339
BEAUTIFUL SAVIOR LUTHERAN CH,1337 W 11TH ST TEMPE 85281 ,33.41685,-111.96021
BETHANY BIBLE CHURCH,6060 N 7TH AVE PHOENIX 85013 ,33.5257,-112.08303
FOUNTAIN HILLS COMMUNITY CENTER,13001 N LA MONTANA DR FOUNTAIN HILLS 85268 ,33.6033,-111.72159
CHURCH OF JESUS CHRIST OF LDS,3802 N 59TH AVE PHOENIX 85033 ,33.49215,-112.18708
CHURCH OF THE BEATITUDES,555 W GLENDALE AVE PHOENIX 85021 ,33.53782,-112.08136
DESERT CHRISTIAN FELLOWSHIP,1445 W NORTHERN AVE PHOENIX 85021 ,33.55263,-112.09091
GLENDALE MISSION AND MINISTRY CENTER,6242 N 59TH AVE GLENDALE 85301 ,33.52865,-112.18717
HOLY TRINITY EVANGELICAL LUTHTHERAN CHURCH,739 W ERIE ST CHANDLER 85225 ,33.30931,-111.8536
HOLY TRINITY GREEK ORTHODOX CATHEDRAL,1973 E MARYLAND AVE PHOENIX 85016 ,33.53071,-112.03939
GOELET A.C. BEUF COMMUNITY CENTER,3435 W PINNACLE PEAK RD PHOENIX 85027 ,33.69712,-112.13189
KNIGHTS OF PYTHIAS LODGE,1606 E APACHE BLVD TEMPE 85281 ,33.41504,-111.91196
LONGMORE ROAD BAPTIST CHURCH,554 S LONGMORE  MESA 85202 ,33.40414,-111.86622
MESA BAPTIST CHURCH,2425 S ALMA SCHOOL RD MESA 85210 ,33.37084,-111.85798
MESA EDUCATION CENTER,855 W 8TH AVE MESA 85210 ,33.39995,-111.84956
OCOTILLO SCHOOL,3225 W OCOTILLO RD PHOENIX 85017 ,33.53406,-112.1277
P T COE SCHOOL,3801 W ROANOKE AVE PHOENIX 85009 ,33.4782,-112.14256
PENDERGAST SCHOOL/DISTRICT OFFICE,3802 N 91ST AVE PHOENIX 85037 ,33.49106,-112.2557
PROGRESSIVE BAPTIST CHURCH,761 S HORNE  MESA 85204 ,33.40092,-111.81387
SALVATION ARMY PHOENIX CITADEL CORP,632 N 3RD AVE PHOENIX 85003 ,33.45589,-112.07801
ST ANDREWS EPISCOPAL CHURCH,6300 W CAMELBACK RD GLENDALE 85301 ,33.50994,-112.19556
ST MATTHEW CATHOLIC CHR/SCHOOL,2038 W VAN BUREN ST PHOENIX 85009 ,33.45168,-112.10409
STARLIGHT PARK BAPTIST CHURCH,7901 W OSBORN RD PHOENIX 85033 ,33.48687,-112.22937
T G BARR SCHOOL,2041 E VINEYARD RD PHOENIX 85042 ,33.38546,-112.03653
TEMPE CHRISTIAN CHURCH,5815 S MCCLINTOCK DR TEMPE 85283 ,33.36995,-111.9107
TEMPE ELKS LODGE POST #2251,2320 S HARDY DR TEMPE 85282 ,33.40317,-111.95267
TEMPE UNION HIGH SCHOOL DISTRICT OFFICE,500 W GUADALUPE RD TEMPE 85283 ,33.36421,-111.95029
UNIVERSITY LUTHERAN CHURCH,340 E 15TH ST TEMPE 85281 ,33.41259,-111.93106
MESA COMMUNITY COLLEGE AT RED MTN*,7110 E MCKELLIPS RD MESA 85207 ,33.45505,-111.67911
MESQUITE  GROVES AQUATIC CENTER,5901 S HILLCREST DR CHANDLER 85249 ,33.22032,-111.76257
PARADISE VALLEY COMMUNITY COLLEGE,18401 N 32ND ST PHOENIX 85032 ,33.65156,-112.01078
QUEEN CREEK UNIFIED SCHOOL DISTRICT,20217 E CHANDLER HEIGHTS RD QUEEN CREEK 85142 ,33.2335,-111.64698
WICKENBURG COMMUNITY CENTER,160 N VALENTINE ST WICKENBURG 85390 ,33.97112,-112.72927
YOUNGTOWN CLUBHOUSE,12033 N CLUBHOUSE SQ YOUNGTOWN  85363 ,33.59439,-112.3023
BALSZ ELEMENTARY SCHOOL DISTRICT OFFICE,4825 E ROOSEVELT ST PHOENIX 85008 ,33.45807,-111.97791
FRANKLIN EAST SCHOOL,1753 E 8TH AVE MESA 85204 ,33.40038,-111.79421
MADISON PARK SCHOOL,1431 E CAMPBELL AVE PHOENIX 85014 ,33.501,-112.04974
PHOENIX UNION HIGH SCHOOL DISTRICT OFFICE,4502 N CENTRAL AVE PHOENIX 85012 ,33.5023,-112.07418
SEVILLA ELEMENTARY SCHOOL,3801 W MISSOURI AVE PHOENIX 85019 ,33.5149,-112.14232
ALL SAINTS LUTHERAN CHURCH,15649 N 7TH ST PHOENIX 85022 ,33.62897,-112.0644
ALLELUIA LUTHERAN CHURCH,8444 W ENCANTO BLVD PHOENIX 85037 ,33.47283,-112.24189
