osm_id,code,fclass,name,lon,lat
359259261,2082,school,Colorado City Elementary School,-112.97244,36.99165
359248701,2082,school,Miller School,-113.42549,35.53416
359259260,2082,school,Chloride Elementary School,-114.2069,35.43138
359259354,2082,school,Hackberry Elementary School,-113.72605,35.36833
359259409,2082,school,Kingman High School,-114.05839,35.19161
359259412,2082,school,Kingman Junior High School,-114.05995,35.1925
359259417,2082,school,La Senita School,-114.05967,35.19361
359259490,2013,nursing_home,Desert Highlands Care Center,-114.04073,35.21332
359259692,2082,school,Saint Mary School,-114.05412,35.19139
359259932,2082,school,Valentine Elementary School,-113.66077,35.38666
359259994,2082,school,Yucca Elementary School Number Three,-114.15079,34.87362
822412294,2501,supermarket,K-Mart Kingman,-114.0054,35.22052
822412301,2501,supermarket,Bashas,-114.00496,35.22168
3248623870,2303,cafe,Firehouse Coffee,-114.59473,35.10168
4083160700,2402,motel,Budget Inn,-114.07558,35.19687
4083160701,2402,motel,El Trovatore Motel,-114.03416,35.19136
4083160702,2402,motel,Hill Top Motel,-114.03424,35.19371
4083160703,2402,motel,Imperial Motel,-114.03339,35.19384
4083160704,2402,motel,BEST WESTERN PLUS King's Inn & Suites,-114.0147,35.21212
4083160705,2402,motel,Rodeway Inn,-114.01345,35.2135
4084819472,2402,motel,Colorado River Resort,-114.57149,35.14488
4084819473,2402,motel,Days Inn Bullhead City,-114.56833,35.14621
4084819474,2402,motel,Nevada Club Inn,-114.56668,35.14696
4084819475,2402,motel,Gretchen's Inn,-114.56852,35.14882
4084819476,2402,motel,Desert Rancho Motel,-114.56791,35.15057
4084819477,2402,motel,Travelers Inn,-114.57603,35.12671
4084819478,2402,motel,Goodnite Inn & Suites,-114.57507,35.12577
4084819479,2402,motel,Arizona Sunset Suites,-114.57387,35.12472
5238844551,2501,supermarket,Walmart Supercenter,-114.59468,35.00575
5315601757,2501,supermarket,Walmart Supercenter,-114.5943,35.08253
6345321219,2303,cafe,Calico's,-114.06271,35.19023
359259361,2082,school,Havasupai Elementary School,-114.31329,34.51112
359259746,2082,school,Smoketree Elementary School,-114.32134,34.48529
4504048956,2402,motel,Bridgewater Motel,-114.35093,34.47494
4504048957,2402,motel,Motel 6 Lake Havasu Lakeside,-114.35124,34.4752
4504048959,2402,motel,Super 8,-114.35129,34.48009
4504048960,2402,motel,Rodeway Inn & Suites,-114.35118,34.48107
4504048961,2402,motel,Windsor Inn Motel,-114.35333,34.48437
4504048962,2402,motel,Lake Havasu Travelodge,-114.35261,34.48517
4504048963,2402,motel,Havasu Inn,-114.33875,34.4969
4504048964,2402,motel,Days Inn Lake Havasu,-114.34159,34.47575
4504048965,2402,motel,Island Suites,-114.34069,34.47131
4504048966,2402,motel,Quality Inn & Suites,-114.34056,34.46985
4504048967,2402,motel,Sands-On-The-Fairway Inn,-114.36868,34.5334
4504048968,2402,motel,Twin Palms Inn,-114.367,34.53727
4591970097,2501,supermarket,Smith's Supermarket,-114.32187,34.47742
5256697467,2501,supermarket,Herb's herbs,-114.33111,34.47625
5286732834,2501,supermarket,Food City,-114.35142,34.50661
5787465930,2303,cafe,Human Bean,-114.34886,34.51755
5982134665,2303,cafe,The Human Bean,-114.26526,34.45296
2463137271,2303,cafe,,-114.47782,35.70482
4479340289,2402,motel,,-114.09264,35.96611
359287117,2005,post_office,Mocassin Post Office,-112.75909,36.90887
359286705,2005,post_office,Riviera Post Office,-114.63024,35.09444
359287093,2005,post_office,Bullhead City Post Office,-114.56691,35.15194
359287097,2005,post_office,Chloride Post Office,-114.19933,35.41453
359287103,2005,post_office,Dolan Springs Post Office,-114.27857,35.58638
359287110,2005,post_office,Kingman Post Office,-114.05252,35.19025
359287120,2005,post_office,Mohave Valley Post Office,-114.5983,34.92778
359287126,2005,post_office,Peach Springs Post Office,-113.42702,35.52904
359287129,2005,post_office,Wikieup Post Office,-113.60771,34.69724
359287133,2005,post_office,Yucca Post Office,-114.15356,34.87362
366219638,2009,courthouse,Mohave County Courthouse,-114.05257,35.19209
366219950,2099,public_building,Old Cofer Headquarters,-113.35576,34.8064
366220057,2008,town_hall,Kingman City Hall,-114.05356,35.19
468324829,2002,fire_station,,-114.30696,35.20744
853974383,2099,public_building,Hualapai Tribal Headquarters,-113.42618,35.5293
4415810689,2005,post_office,,-114.03271,35.19636
6186752459,2005,post_office,Oatman Post Office,-114.38431,35.02701
6186810157,2002,fire_station,Golden Shores Volunteer Fire Department,-114.48053,34.7802
4591968391,2001,police,Lake Havasu City Police Dept,-114.31805,34.47833
4591968670,2002,fire_station,Lake Havasu City Fire Station #1,-114.31669,34.47666
4591969535,2008,town_hall,Lake Havasu City Hall,-114.31924,34.47713
4591975534,2005,post_office,Post Office,-114.34054,34.47565
5294717353,2001,police,Mohave County Sheriff’s Office,-114.35197,34.53904
5778260617,2002,fire_station,,-114.36745,34.54626
1387735237,2002,fire_station,Grapevine Mesa Fire District,-114.06678,36.00319
1387735240,2007,library,Meadview Community Library,-114.06557,36.00251
5325403061,2002,fire_station,he Beaver Dam/Littlefield Fire District Station #3,-114.03696,36.77312
