name,address,lat,lon
,14109 CHICKEN SPRINGS RD WIKIEUP AZ 85360,34.70561,-113.61485
,8541 W WHITE HILLS RD WHITE HILLS AZ 86413,35.73357,-114.32933
,12349 S FRONTAGE RD YUCCA AZ 86438,34.86989,-114.14888
,1990 JAGERSON AVE KINGMAN AZ 86409,35.26742,-114.02975
,4990 PAYROLL AVE CHLORIDE AZ 86431,35.41396,-114.19859
,480 S CENTRAL ST COLORADO CITY AZ 86021,36.9817,-112.97297
,81 BELL LANE OATMAN AZ 86433,35.0261,-114.38162
,3983 LONDON BRIDGE RD LAKE HAVASU CITY AZ 86404,34.54625,-114.36743
,247 E MEADVIEW BLVD MEADVIEW AZ 86444,36.00286,-114.06568
,15195 N PIERCE FERRY RD DOLAN SPRINGS AZ 86441,35.56601,-114.30984
,423 S COLORADO RD GOLDEN VALLEY AZ 86413,35.21665,-114.23836
,2625 LANDON DR BULLHEAD CITY AZ 86429,35.15738,-114.54593
,1325 RAMAR RD BULLHEAD CITY AZ 86442,35.11547,-114.6018
,1752 ARRIBA DR BULLHEAD CITY AZ 86442,35.10842,-114.57698
,1664 CENTRAL AVE BULLHEAD CITY AZ 86442,35.04753,-114.59203
,1595 LEVEE DR MOHAVE VALLEY AZ 86440,34.85182,-114.60056
,1421 E COMMERCIAL ST MOHAVE VALLEY AZ 86440,34.91179,-114.60028
,1593 E LIPAN BLVD MOHAVE VALLEY AZ 86426,34.983,-114.59465
,8620 CORTEZ DR KINGMAN AZ 86401,35.37659,-113.85874
,12476 N BYERS ST TRUXTON AZ 86434,35.48703,-113.56767
,2101 HARRISON ST KINGMAN AZ 86401,35.20621,-114.02529
,4990 PAYROLL AVE CHLORIDE AZ 86431,35.41396,-114.19859
,1990 JAGERSON AVE KINGMAN AZ 86409,35.26742,-114.02975
,302 E SPRING STREET KINGMAN AZ 86401,35.19147,-114.05405
,3120 HUALAPAI MTN RD KINGMAN AZ 86401,35.1851,-114.00618
,1730 KINO AVE KINGMAN AZ 86409,35.23179,-114.0383
,3575 SCHAEFFER AVE KINGMAN AZ 86409,35.2577,-113.99104
,2215 EMERSON AVE KINGMAN AZ 86401,35.19692,-114.02532
,2635 ANITA AVE LAKE HAVASU CITY AZ 86404,34.52234,-114.33113
,1200 PARK TERRACE AVE LAKE HAVASU CITY AZ 86404,34.50888,-114.35054
,2895 JAMAICA BLVD SOUTH LAKE HAVASU CITY AZ 86406,34.47284,-114.29759
,271 LAKE HAVASU AVE SOUTH LAKE HAVASU CITY AZ 86403,34.46931,-114.34004
,3450 CHEMEHUEVI BLVD LAKE HAVASU CITY AZ 86403,34.47691,-114.28042
,2170 HAVASUPI BLVD LAKE HAVASU CITY AZ 86403,34.49587,-114.33247
,3490 E RIO VIRGIN RD LITTLEFIELD AZ 86432,36.90417,-113.92858
,12950 OATMAN RD TOPOCK AZ 86436,34.78023,-114.48052
,HC65 250 N PIPE SPRINGS RD FREDONIA PAIUTE INDIAN RESERVATION AZ 86022,36.89742,-112.74945
,403 DIAMOND CREEK RD PEACH SPRINGS AZ 86434,35.53434,-113.42569
