lat,lon
35.09346,-114.62699
35.09897,-114.63928
35.10385,-114.64066
35.10788,-114.63502
35.10896,-114.62843
35.11169,-114.63036
35.1156,-114.6303
35.11651,-114.62655
35.11456,-114.62555
35.1139,-114.62212
35.10923,-114.61815
35.11431,-114.61738
35.11699,-114.61716
35.11858,-114.60951
35.11705,-114.59941
35.11323,-114.60787
35.10981,-114.61308
35.11678,-114.59932
35.11973,-114.59499
35.14571,-114.56828
35.14462,-114.56508
35.16476,-114.56487
35.14629,-114.57065
35.1195,-114.59483
35.0936,-114.59664
35.09164,-114.61313
35.08608,-114.61308
35.0851,-114.61022
35.08124,-114.6051
35.04987,-114.58962
35.08978,-114.59639
35.09281,-114.59636
35.09966,-114.59632
35.10326,-114.59706
35.11455,-114.59543
35.11627,-114.59086
35.14792,-114.53114
35.14797,-114.5361
35.15602,-114.54999
35.1615,-114.55241
35.07541,-114.55234
35.07741,-114.561
35.13862,-114.57022
35.05487,-114.59829
35.09928,-114.59452
35.14617,-114.56763
35.10477,-114.59511
35.12092,-114.58928
35.12624,-114.57644
35.15311,-114.56687
35.1659,-114.5675
35.15143,-114.56817
35.14234,-114.57023
35.12242,-114.58635
35.1122,-114.60142
35.10817,-114.59984
35.10033,-114.59669
35.10111,-114.59666
35.08359,-114.59523
35.07567,-114.59362
35.05162,-114.58985
35.06316,-114.58624
35.08188,-114.5507
35.11017,-114.5553
35.1116,-114.589
35.10838,-114.58473
35.1085,-114.57799
35.10832,-114.57157
35.11241,-114.57158
35.10802,-114.60449
35.10705,-114.61309
35.09945,-114.62317
35.09634,-114.63051
35.1004,-114.63052
35.10746,-114.60411
35.1042,-114.60412
35.10184,-114.60414
