geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_white,prc_white_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop10,areakm,popdens,prc_native,vbm_rate_tot,vbm_rate_lat,vbm_rate_asn,vbm_rate_youth
4017940008,17,0.34381,0,0.85165,0,0.25766,0,0.29533,0,0.0757,0,0.0,1,0.0,1,0.0,1,0.00187,1,0.01006,0,0.0,1,0.0094,0.0282,1361,1013.51253,1.34285,0.98457,0.35384,0.24829,1.0,0.41717
4017940010,17,0.29178,0,0.73722,0,0.26735,0,0.45507,0,0.12868,0,0.0,1,0.0,1,0.00611,1,0.00935,1,0.02334,0,0.57402,0,,0.01111,3088,357.71884,8.63248,0.97701,0.36644,0.26379,1.0,0.42092
4017940011,17,0.32499,0,0.83521,0,0.27641,0,0.37373,0,0.09492,0,0.03444,0,0.0,1,0.01854,0,0.01589,0,0.01864,0,0.06275,0,0.00527,0.02307,2816,761.86527,3.69619,0.95703,0.36191,0.25615,1.0,0.42101
4017940012,17,0.1159,0,0.77978,0,0.04558,0,0.35851,0,0.10899,0,0.00418,1,0.00388,1,0.00567,1,0.00269,1,0.0296,0,0.0,1,0.02664,0.04516,2759,2063.76958,1.33687,0.95941,0.43323,0.54444,1.0,0.40065
4017940013,17,0.1623,0,0.77023,0,0.06395,0,0.42009,0,0.10555,0,0.02076,1,0.00316,1,0.01226,0,0.01977,0,0.0452,0,0.0,1,0.01959,0.0643,4191,2367.35104,1.77033,0.93796,0.47722,0.56832,1.0,0.41533
4017940014,17,0.29967,0,0.82292,0,0.15362,0,0.50612,0,0.09514,0,0.0,1,0.0,1,0.01342,1,0.00395,0,0.02412,0,0.20503,0,0.00036,0.02935,2750,1544.5025,1.78051,0.96618,0.3307,0.27238,1.0,0.39794
4017940015,17,0.20477,0,0.82681,0,0.20969,0,0.39017,0,0.08507,0,0.00745,1,0.00373,1,0.02609,0,0.00614,0,0.04217,0,0.0,1,0.00185,0.06176,4176,2161.32986,1.93214,0.97581,0.47556,0.56575,1.0,0.4235
4017940100,17,0.06184,0,0.83378,0,0.20373,0,0.42592,0,0.0934,0,0.00575,1,0.01071,1,0.05374,1,0.023,0,0.04198,0,0.0,1,0.01047,0.15918,4096,2275.88691,1.79974,0.94287,0.56566,0.59596,0.75,0.50317
4017940301,17,0.04018,0,0.72093,0,0.19462,0,0.42757,0,0.08728,0,0.00567,1,0.00091,1,0.02448,0,0.0127,1,0.0365,0,0.96095,0,0.02379,0.0016,4229,22.9032,184.64669,0.97233,0.56566,0.59596,0.75,0.50316
4017940302,17,0.0401,0,0.73677,0,0.17517,0,0.39833,0,0.1337,0,0.0,1,0.0,1,0.03366,1,0.00609,1,0.02863,0,0.18714,0,0.03248,0.02456,2851,351.057,8.12119,0.97229,0.56566,0.59596,0.75,0.50316
