idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
807,-111.3347,31.5733,0.21164,0.0,0.0,0.40425,0.0,0.94546,0.77172,0.85896,0.38787,0.78295,0.8959,0.06116,0.48352,0.50819
808,-111.32627,31.57327,0.21164,0.0,0.34674,0.40425,0.0,0.94546,0.77172,0.85896,0.38787,0.78295,0.8959,0.35236,0.52698,0.54957
892,-111.32622,31.58048,0.21164,0.88901,0.3451,0.40425,0.0,0.94546,0.77172,0.85896,0.38787,0.78295,0.8959,0.19929,0.58586,0.62288
3578,-110.65831,31.73438,0.74538,0.0,0.0,0.03212,0.0,0.21164,0.3063,0.40817,0.11549,0.12037,0.1182,0.08867,0.16944,0.18969
4067,-110.45551,31.74664,0.74538,0.0,0.0,0.03212,0.0,0.21164,0.3063,0.40817,0.11549,0.12037,0.12445,0.90735,0.14497,0.14617
4994,-110.74217,31.77847,0.97069,0.77405,0.33286,0.18837,0.48556,0.14724,0.55266,0.35342,0.02724,0.14957,0.1183,0.69492,0.33025,0.33793
4998,-110.70839,31.77815,0.97069,0.0,0.33174,0.18837,0.48556,0.14724,0.55266,0.35342,0.02724,0.14957,0.12466,0.602,0.24614,0.23848
4999,-110.69994,31.77807,0.97069,0.77405,0.33286,0.18837,0.48556,0.14724,0.55266,0.35342,0.02724,0.14957,0.1183,0.69492,0.33025,0.33793
5207,-111.02925,31.78801,0.11968,0.0,0.43876,0.20295,0.0,0.28738,0.11019,0.13834,0.04935,0.02936,0.02475,0.35703,0.16621,0.17809
5246,-110.69985,31.78528,0.97069,0.0,0.33174,0.18837,0.48556,0.14724,0.55266,0.35342,0.02724,0.14957,0.12466,0.602,0.24614,0.23848
5364,-111.81486,31.79827,0.4405,0.0,0.34033,0.9417,0.63206,0.75486,0.01251,0.05666,0.91223,0.71039,0.98246,0.29687,0.55668,0.55007
5365,-111.80641,31.79827,0.4405,0.0,0.33461,0.9417,0.63206,0.75486,0.01251,0.05666,0.91223,0.71039,0.98246,0.32501,0.55761,0.5508
5457,-111.02918,31.79522,0.11968,0.96788,0.38363,0.20295,0.0,0.28738,0.11019,0.13834,0.04935,0.02936,0.02481,0.98606,0.26279,0.28411
5458,-111.02073,31.79516,0.11968,0.0,0.46902,0.20295,0.0,0.28738,0.11019,0.13834,0.04935,0.02936,0.02475,0.85742,0.19375,0.20206
5711,-111.02066,31.80238,0.35019,0.0,0.58112,0.59098,0.50729,0.00901,0.00747,0.22213,0.14178,0.0,0.02475,0.28351,0.21527,0.20596
5870,-111.83174,31.81272,0.4405,0.0,0.35151,0.9417,0.63206,0.75486,0.01251,0.05666,0.91223,0.71039,0.98246,0.26104,0.55582,0.54947
