idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
8390,-110.9946,31.87434,0.28314,0.9876,0.57884,0.28075,0.83055,0.73769,0.18683,0.38252,0.29485,0.01198,0.01707,0.90274,0.36635,0.3612
10019,-111.89932,31.92098,0.4405,0.82774,0.35279,0.9417,0.63206,0.75486,0.01251,0.05666,0.91223,0.71039,0.90735,0.46186,0.5467,0.5463
18670,-110.78041,32.10348,0.60349,0.82774,0.41056,0.15466,0.0,0.17613,0.38236,0.17491,0.24047,0.41411,0.72142,0.95171,0.40816,0.41394
19313,-111.11082,32.12044,0.94689,0.0,0.64822,0.22902,0.35824,0.50533,0.88207,0.79202,0.47236,0.29178,0.19653,0.53172,0.34132,0.3348
20011,-110.97504,32.13393,0.62803,0.96353,0.51206,0.67918,0.504,0.40987,0.9833,0.93444,0.78741,0.66412,0.62331,0.91106,0.69027,0.70345
22757,-110.82175,32.19042,0.36015,0.96184,0.67419,0.45259,0.61091,0.85313,0.36142,0.391,0.45148,0.47623,0.33588,0.94488,0.58381,0.59434
24783,-110.99098,32.23505,0.14406,0.92087,0.70817,0.68474,0.55706,0.93905,0.94127,0.82255,0.78502,0.3874,0.71638,0.74013,0.70866,0.72186
24807,-110.78728,32.2334,0.7397,0.88255,0.87226,0.33922,0.40992,0.16807,0.33879,0.22849,0.15906,0.45455,0.37558,0.94472,0.46745,0.46636
25133,-110.91451,32.24169,0.77834,0.0,0.88,0.94525,0.77654,0.72274,0.52928,0.819,0.83776,0.52791,0.59824,0.88069,0.64746,0.63504
26833,-110.95657,32.27809,0.57465,0.0,0.8446,0.82726,0.47957,0.82997,0.59485,0.80431,0.67478,0.64732,0.63598,0.89458,0.61956,0.61327
28206,-110.87982,32.30634,0.18249,0.0,0.43997,0.26151,0.30413,0.38957,0.19293,0.27116,0.16266,0.1641,0.07998,0.90036,0.25351,0.2482
30564,-111.06622,32.35823,0.61117,0.0,0.50623,0.19876,0.30572,0.41316,0.58748,0.25505,0.20925,0.57942,0.51317,0.985,0.39976,0.38982
31935,-110.97243,32.38642,0.32607,0.89903,0.47777,0.33731,0.4378,0.51736,0.34377,0.49944,0.35098,0.35581,0.12387,0.86537,0.48062,0.49437
34313,-110.98892,32.43705,0.41252,0.84391,0.55165,0.01193,0.34081,0.11337,0.30381,0.45381,0.16426,0.47883,0.2375,0.91742,0.36557,0.37141
