,osm_id,code,fclass,name,lon,lat
0,359287199,2005,post_office,Tacna Post Office,-113.95354,32.69727
1,1073503775,2007,library,Welton Library,-114.14473,32.67205
2,1073538268,2001,police,"Yuma County Sheriff, Welton Sub Station",-114.13409,32.67481
3,1073539392,2009,courthouse,Welton Justice Court,-114.13419,32.67471
4,1073553125,2008,town_hall,Welton Town Hall,-114.14798,32.67282
5,1073554025,2001,police,Welton Police,-114.1482,32.67275
6,1073556529,2005,post_office,Welton Post Office,-114.14849,32.67273
7,1072329755,2001,police,"Yuma County Sheriff, District 1 and Foothills sub-station",-114.40803,32.66862
8,1072329761,2007,library,"Yuma County Public Library, foothills branch",-114.40664,32.66844
9,1080860349,2005,post_office,PackRats Mail N More,-114.4436,32.6563
10,4700410121,2002,fire_station,Yuma Fire Department Station 5,-114.52226,32.68147
11,4700446195,2001,police,Yuma Police Department Araby East Station,-114.5233,32.68159
12,5526189953,2005,post_office,The UPS Store,-114.44549,32.66818
13,6321523985,2005,post_office,U. S. Post,-114.4446,32.65965
14,359287193,2005,post_office,Gadsden Post Office,-114.78504,32.55807
15,359287195,2005,post_office,Somerton Post Office,-114.71079,32.59727
16,366220047,2008,town_hall,Somerton City Hall,-114.71051,32.59672
17,2397684712,2001,police,Yuma Police Department,-114.62076,32.69983
18,2496936009,2002,fire_station,City of Yuma Fire Station No. 6,-114.66966,32.67006
19,2497548893,2007,library,Yuma County Main Library,-114.64526,32.67395
20,2892653128,2002,fire_station,,-114.70609,32.59604
21,4693011408,2002,fire_station,Yuma Fire Department Station 3,-114.61552,32.68279
22,4704708975,2002,fire_station,Yuma Fire Department Station 2,-114.63352,32.66665
23,6361313289,2005,post_office,UPS Store - Big Curve Shopping Center,-114.62268,32.67172
24,6227865490,2001,police,Yuma County Sheriff-Civil Division,-114.62285,32.72434
