provider,lat,lon,num_stops_per_week,score
Yuma County Intergovernmental Public Transportation Authority,32.70422,-114.60727,21,2
Yuma County Intergovernmental Public Transportation Authority,32.70574,-114.6018,23,2
Yuma County Intergovernmental Public Transportation Authority,32.70205,-114.59899,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6988,-114.60111,18,1
Yuma County Intergovernmental Public Transportation Authority,32.69891,-114.61132,11,1
Yuma County Intergovernmental Public Transportation Authority,32.70485,-114.61274,11,1
Yuma County Intergovernmental Public Transportation Authority,32.70905,-114.6134,11,1
Yuma County Intergovernmental Public Transportation Authority,32.72278,-114.61612,87,3
Yuma County Intergovernmental Public Transportation Authority,32.72534,-114.61634,40,2
Yuma County Intergovernmental Public Transportation Authority,32.72543,-114.61829,25,2
Yuma County Intergovernmental Public Transportation Authority,32.72527,-114.62105,25,2
Yuma County Intergovernmental Public Transportation Authority,32.73427,-114.61338,30,2
Yuma County Intergovernmental Public Transportation Authority,32.73178,-114.61527,15,1
Yuma County Intergovernmental Public Transportation Authority,32.72431,-114.62467,25,2
Yuma County Intergovernmental Public Transportation Authority,32.7213,-114.62466,25,2
Yuma County Intergovernmental Public Transportation Authority,32.71779,-114.62466,25,2
Yuma County Intergovernmental Public Transportation Authority,32.7126,-114.62476,25,2
Yuma County Intergovernmental Public Transportation Authority,32.7086,-114.62475,25,2
Yuma County Intergovernmental Public Transportation Authority,32.70543,-114.62475,25,2
Yuma County Intergovernmental Public Transportation Authority,32.70178,-114.62475,25,2
Yuma County Intergovernmental Public Transportation Authority,32.69684,-114.62474,25,2
Yuma County Intergovernmental Public Transportation Authority,32.65969,-114.44425,1,1
Yuma County Intergovernmental Public Transportation Authority,32.69022,-114.62473,25,2
Yuma County Intergovernmental Public Transportation Authority,32.68736,-114.62475,25,2
Yuma County Intergovernmental Public Transportation Authority,32.68426,-114.62478,25,2
Yuma County Intergovernmental Public Transportation Authority,32.68405,-114.62714,25,2
Yuma County Intergovernmental Public Transportation Authority,32.6558,-114.42685,1,1
Yuma County Intergovernmental Public Transportation Authority,32.68407,-114.63431,48,2
Yuma County Intergovernmental Public Transportation Authority,32.68407,-114.63722,48,2
Yuma County Intergovernmental Public Transportation Authority,32.68403,-114.64204,48,2
Yuma County Intergovernmental Public Transportation Authority,32.6837,-114.64615,59,2
Yuma County Intergovernmental Public Transportation Authority,32.68043,-114.64791,119,4
Yuma County Intergovernmental Public Transportation Authority,32.68365,-114.65018,46,2
Yuma County Intergovernmental Public Transportation Authority,32.68379,-114.64628,57,2
Yuma County Intergovernmental Public Transportation Authority,32.68382,-114.64167,46,2
Yuma County Intergovernmental Public Transportation Authority,32.68384,-114.63584,46,2
Yuma County Intergovernmental Public Transportation Authority,32.68388,-114.62872,25,2
Yuma County Intergovernmental Public Transportation Authority,32.67326,-114.62418,11,1
Yuma County Intergovernmental Public Transportation Authority,32.67331,-114.62097,11,1
Yuma County Intergovernmental Public Transportation Authority,32.67068,-114.61972,11,1
Yuma County Intergovernmental Public Transportation Authority,32.66931,-114.61941,11,1
Yuma County Intergovernmental Public Transportation Authority,32.66924,-114.61394,11,1
Yuma County Intergovernmental Public Transportation Authority,32.66924,-114.6113,11,1
Yuma County Intergovernmental Public Transportation Authority,32.66851,-114.59853,19,1
Yuma County Intergovernmental Public Transportation Authority,32.67313,-114.5987,11,1
Yuma County Intergovernmental Public Transportation Authority,32.67698,-114.5987,11,1
Yuma County Intergovernmental Public Transportation Authority,32.68018,-114.59869,11,1
Yuma County Intergovernmental Public Transportation Authority,32.68426,-114.59871,12,1
Yuma County Intergovernmental Public Transportation Authority,32.69108,-114.59869,12,1
Yuma County Intergovernmental Public Transportation Authority,32.68454,-114.52077,16,1
Yuma County Intergovernmental Public Transportation Authority,32.68458,-114.50876,16,1
Yuma County Intergovernmental Public Transportation Authority,32.68459,-114.50465,4,1
Yuma County Intergovernmental Public Transportation Authority,32.68734,-114.49597,50,2
Yuma County Intergovernmental Public Transportation Authority,32.68465,-114.49779,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68467,-114.4909,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68477,-114.48265,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68454,-114.47858,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67742,-114.47839,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67336,-114.47836,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67021,-114.49508,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67016,-114.48446,1,1
Yuma County Intergovernmental Public Transportation Authority,32.67002,-114.47796,1,1
Yuma County Intergovernmental Public Transportation Authority,32.67017,-114.46307,1,1
Yuma County Intergovernmental Public Transportation Authority,32.66817,-114.44363,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67038,-114.48501,2,1
Yuma County Intergovernmental Public Transportation Authority,32.67048,-114.49506,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67368,-114.47819,10,1
Yuma County Intergovernmental Public Transportation Authority,32.67777,-114.47825,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68504,-114.47901,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68501,-114.48336,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68501,-114.48656,10,1
Yuma County Intergovernmental Public Transportation Authority,32.68493,-114.49101,10,1
Yuma County Intergovernmental Public Transportation Authority,32.6849,-114.50404,2,1
Yuma County Intergovernmental Public Transportation Authority,32.68486,-114.50932,14,1
Yuma County Intergovernmental Public Transportation Authority,32.69809,-114.599,24,2
Yuma County Intergovernmental Public Transportation Authority,32.69114,-114.59897,24,2
Yuma County Intergovernmental Public Transportation Authority,32.68529,-114.6159,11,1
Yuma County Intergovernmental Public Transportation Authority,32.62333,-114.76966,11,1
Yuma County Intergovernmental Public Transportation Authority,32.6771,-114.6482,36,2
Yuma County Intergovernmental Public Transportation Authority,32.6736,-114.64602,36,2
Yuma County Intergovernmental Public Transportation Authority,32.66926,-114.65025,36,2
Yuma County Intergovernmental Public Transportation Authority,32.63906,-114.65019,36,2
Yuma County Intergovernmental Public Transportation Authority,32.61085,-114.65123,38,2
Yuma County Intergovernmental Public Transportation Authority,32.60691,-114.65204,71,3
Yuma County Intergovernmental Public Transportation Authority,32.59774,-114.66733,38,2
Yuma County Intergovernmental Public Transportation Authority,32.59681,-114.70149,27,2
Yuma County Intergovernmental Public Transportation Authority,32.59676,-114.70598,27,2
Yuma County Intergovernmental Public Transportation Authority,32.59673,-114.7095,27,2
Yuma County Intergovernmental Public Transportation Authority,32.59671,-114.71127,38,2
Yuma County Intergovernmental Public Transportation Authority,32.59671,-114.71437,38,2
Yuma County Intergovernmental Public Transportation Authority,32.59671,-114.71943,38,2
Yuma County Intergovernmental Public Transportation Authority,32.59673,-114.74296,27,2
Yuma County Intergovernmental Public Transportation Authority,32.56188,-114.78489,27,2
Yuma County Intergovernmental Public Transportation Authority,32.5573,-114.78492,27,2
Yuma County Intergovernmental Public Transportation Authority,32.55424,-114.78495,27,2
Yuma County Intergovernmental Public Transportation Authority,32.49411,-114.78309,3,1
Yuma County Intergovernmental Public Transportation Authority,32.68096,-114.63331,11,1
Yuma County Intergovernmental Public Transportation Authority,32.66832,-114.44455,2,1
Yuma County Intergovernmental Public Transportation Authority,32.49437,-114.78359,28,2
Yuma County Intergovernmental Public Transportation Authority,32.49905,-114.78578,28,2
Yuma County Intergovernmental Public Transportation Authority,32.50165,-114.78648,28,2
Yuma County Intergovernmental Public Transportation Authority,32.50482,-114.78657,28,2
Yuma County Intergovernmental Public Transportation Authority,32.50673,-114.78652,28,2
Yuma County Intergovernmental Public Transportation Authority,32.55283,-114.7847,28,2
Yuma County Intergovernmental Public Transportation Authority,32.55605,-114.78471,28,2
Yuma County Intergovernmental Public Transportation Authority,32.56155,-114.7846,28,2
Yuma County Intergovernmental Public Transportation Authority,32.59642,-114.74107,28,2
Yuma County Intergovernmental Public Transportation Authority,32.59651,-114.71818,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59653,-114.7144,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59653,-114.71111,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59654,-114.70954,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59655,-114.7047,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59657,-114.70197,39,2
Yuma County Intergovernmental Public Transportation Authority,32.59743,-114.66734,39,2
Yuma County Intergovernmental Public Transportation Authority,32.61148,-114.65049,39,2
Yuma County Intergovernmental Public Transportation Authority,32.63941,-114.64993,35,2
Yuma County Intergovernmental Public Transportation Authority,32.66934,-114.64966,35,2
Yuma County Intergovernmental Public Transportation Authority,32.67356,-114.6458,35,2
Yuma County Intergovernmental Public Transportation Authority,32.67706,-114.64579,35,2
Yuma County Intergovernmental Public Transportation Authority,32.6842,-114.62451,25,2
Yuma County Intergovernmental Public Transportation Authority,32.68789,-114.62451,25,2
Yuma County Intergovernmental Public Transportation Authority,32.69146,-114.6245,25,2
Yuma County Intergovernmental Public Transportation Authority,32.69504,-114.62451,25,2
Yuma County Intergovernmental Public Transportation Authority,32.68388,-114.59894,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6798,-114.59894,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6765,-114.59893,12,1
Yuma County Intergovernmental Public Transportation Authority,32.67458,-114.59895,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66955,-114.5991,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66952,-114.60755,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6695,-114.61396,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66951,-114.61669,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6696,-114.61942,12,1
Yuma County Intergovernmental Public Transportation Authority,32.67105,-114.62463,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66946,-114.62489,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66947,-114.6289,12,1
Yuma County Intergovernmental Public Transportation Authority,32.66979,-114.63295,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6721,-114.63298,12,1
Yuma County Intergovernmental Public Transportation Authority,32.67675,-114.63303,12,1
Yuma County Intergovernmental Public Transportation Authority,32.67944,-114.63308,12,1
Yuma County Intergovernmental Public Transportation Authority,32.6822,-114.63314,12,1
Yuma County Intergovernmental Public Transportation Authority,32.68407,-114.65072,13,1
Yuma County Intergovernmental Public Transportation Authority,32.68391,-114.6611,13,1
Yuma County Intergovernmental Public Transportation Authority,32.68389,-114.6636,13,1
Yuma County Intergovernmental Public Transportation Authority,32.68414,-114.66731,13,1
Yuma County Intergovernmental Public Transportation Authority,32.68757,-114.66728,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69147,-114.66731,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69503,-114.66732,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69834,-114.66705,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69835,-114.65709,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69838,-114.6534,13,1
Yuma County Intergovernmental Public Transportation Authority,32.69888,-114.65029,13,1
Yuma County Intergovernmental Public Transportation Authority,32.70598,-114.65031,13,1
Yuma County Intergovernmental Public Transportation Authority,32.708,-114.65031,13,1
Yuma County Intergovernmental Public Transportation Authority,32.71348,-114.65033,13,1
Yuma County Intergovernmental Public Transportation Authority,32.71635,-114.6503,13,1
Yuma County Intergovernmental Public Transportation Authority,32.71855,-114.65033,13,1
Yuma County Intergovernmental Public Transportation Authority,32.72147,-114.64813,13,1
Yuma County Intergovernmental Public Transportation Authority,32.72147,-114.6446,13,1
Yuma County Intergovernmental Public Transportation Authority,32.72148,-114.64078,13,1
